column_name,description,data_type
id,Unique identifier assigned to each record,Integer
Region,Geographical region where the crop was cultivated,Categorical
Soil_Type,Type of soil used for cultivation,Categorical
Crop,Type of crop cultivated,Categorical
Rainfall_mm,Amount of rainfall received in millimeters,Numeric
Temperature_Celsius,Average temperature in degrees Celsius,Numeric
Fertilizer_Used,Whether fertilizer was used,Boolean
Irrigation_Used,Whether irrigation was used,Boolean
Weather_Condition,Weather condition during the growing period,Categorical
Days_to_Harvest,Number of days required until harvest,Integer
Yield_tons_per_hectare,Crop yield measured in tons per hectare,Numeric
